name;team;position;age;fantasycalcId;sleeperId;mflId;value;overallRank;positionRank;trend30day
"Jayden Higgins";"null";"WR";"null";12652;"12484";"UNK";1617;165;56;66
"Quinn Ewers";"null";"QB";"null";12648;"12500";"UNK";1571;174;32;-93
"Harold Fannin";"null";"TE";"null";12659;"12506";"UNK";1531;181;21;-49
"Elijah Arroyo";"null";"TE";"null";12650;"12521";"UNK";1513;183;22;-4
"Jalen Royals";"null";"WR";"null";12671;"12505";"UNK";1494;184;59;-22
"DJ Giddens";"null";"RB";"null";12656;"12471";"UNK";1473;188;44;33
"RJ Harvey";"null";"RB";"null";12601;"12489";"UNK";1456;192;46;23
"Bhayshul Tuten";"null";"RB";"null";12620;"12490";"UNK";1451;194;48;17
"Xavier Restrepo";"null";"WR";"null";12649;"12520";"UNK";1437;198;61;-43
"Damien Martinez";"null";"RB";"null";12633;"12462";"UNK";1357;211;54;46
"Mason Taylor";"null";"TE";"null";12642;"12498";"UNK";1325;219;26;21
"Tez Johnson";"null";"WR";"null";12667;"12485";"UNK";1301;223;70;-55
"Jack Bech";"null";"WR";"null";12626;"12483";"UNK";1285;225;72;2
"Dillon Gabriel";"null";"QB";"null";12646;"12486";"UNK";1252;230;39;0
"Jordan James";"null";"RB";"null";12657;"12467";"UNK";1185;239;58;-12
"Will Howard";"null";"QB";"null";12619;"12511";"UNK";1185;240;40;-10
"Gunnar Helm";"null";"TE";"null";12640;"12502";"UNK";1104;248;29;-2
"Brashard Smith";"null";"RB";"null";12591;"12455";"UNK";1075;253;61;5
"Terrance Ferguson";"null";"TE";"null";12596;"12487";"UNK";1072;254;32;26
"Savion Williams";"null";"WR";"null";12602;"12482";"UNK";1059;257;79;9
"Jaydon Blue";"null";"RB";"null";12622;"12457";"UNK";1031;259;63;22
"Tory Horton";"null";"WR";"null";12637;"12497";"UNK";958;267;83;14
"Raheim Sanders";"null";"RB";"null";12641;"12472";"UNK";924;273;67;14
"Woody Marks";"null";"RB";"null";12599;"12474";"UNK";917;274;68;14
"Tai Felton";"null";"WR";"null";12604;"12496";"UNK";877;278;89;13
"Oronde Gadsden";"null";"TE";"null";12576;"12493";"UNK";874;279;36;13
"Riley Leonard";"null";"QB";"null";12613;"12470";"UNK";870;280;42;13
"Donovan Edwards";"null";"RB";"null";12670;"12515";"UNK";867;281;69;13
"Kyle McCord";"null";"QB";"null";12647;"12494";"UNK";812;285;44;12
"Jimmy Horn";"null";"WR";"null";12600;"12523";"UNK";793;287;91;12
"Nick Nash";"null";"WR";"null";12621;"12478";"UNK";770;288;92;11
"Jarquez Hunter";"null";"RB";"null";11707;"11569";"UNK";758;289;71;11
"Kalel Mullings";"null";"RB";"null";12658;"12516";"UNK";721;290;72;10
"Pat Bryant";"null";"WR";"null";12634;"12492";"UNK";707;292;93;11
"Ricky White";"null";"WR";"null";12582;"12475";"UNK";674;296;97;9
"Mitchell Evans";"null";"TE";"null";12614;"12473";"UNK";648;300;39;9
"Kurtis Rourke";"null";"QB";"null";12630;"12477";"UNK";641;303;47;9
"Bru McCoy";"null";"WR";"null";11771;"11612";"UNK";610;307;100;9
"Antwane Wells";"null";"WR";"null";12615;"12460";"UNK";555;312;102;9
"Ja'Quinden Jackson";"null";"RB";"null";12651;"12479";"UNK";551;313;77;8
"Corey Kiner";"null";"RB";"null";12581;"12491";"UNK";523;319;79;8
"Kobe Hudson";"null";"WR";"null";12608;"12488";"UNK";493;324;106;7
"Moliki Matavao";"null";"TE";"null";12628;"12480";"UNK";448;328;44;7
"Deion Burks";"null";"WR";"null";12660;"12458";"UNK";371;346;116;6
"Eli Stowers";"null";"TE";"null";12654;"12454";"UNK";268;372;50;4
